start,end,ID
2340.5,2460.5,1
2490.5,2576.466667,2
2689.5,2809.5,3
2839.5,2953.333333,4
2983.333333,3062.3,5
3150.833333,3270.833333,6
3348.866667,3468.866667,7
3498.866667,3560.433333,8
3590.433333,3665.333333,9
3706.3,3826.3,10
3856.3,3940.833333,11
3970.833333,4039.233333,12
4069.233333,4140.3,13
4170.3,4232.033333,14
4309.3,4429.3,15
4459.3,4528.333333,16
4558.333333,4595.566667,17
4730.766667,4850.766667,18
4880.766667,4968.4,19
5011.333333,5131.333333,20
5161.333333,5228.366667,21
6214.5,6334.5,22
6364.5,6417.333333,23
6447.333333,6548.966667,24
6581.5,6701.5,25
6751.766667,6871.766667,26
6901.766667,6964.466667,27
7012.766667,7132.766667,28
7162.766667,7254.533333,29
7284.533333,7391.3,30
7454.033333,7574.033333,31
7604.033333,7672.033333,32
7702.033333,7783.966667,33
7887.5,8007.5,34
8057.0,8177.0,35
8207.0,8258.6,36
8288.6,8325.266667,37
9844.833333,9964.833333,38
9994.833333,10089.83333,39
10119.83333,10196.83333,40
10226.83333,10328.4,41
10358.4,10423.43333,42
10453.66667,10573.66667,43
10603.66667,10682.43333,44
10712.43333,10735.16667,45
10765.16667,10880.5,46
10910.5,10961.4,47
10991.4,11085.0,48
11115.0,11224.96667,49
11254.96667,11292.66667,50
11322.66667,11419.4,51
11449.4,11554.0,52
11621.96667,11741.96667,53
11771.96667,11886.4,54
11916.4,11997.96667,55
12027.96667,12107.43333,56
14053.53333,14173.53333,57
14203.53333,14292.0,58
14399.3,14519.3,59
14560.96667,14612.33333,60
14688.83333,14808.83333,61
14838.83333,14957.8,62
15039.33333,15159.33333,63
15248.33333,15368.33333,64
15465.06667,15585.06667,65
15615.06667,15704.7,66
15734.7,15818.5,67
15848.5,15966.26667,68
16096.33333,16216.33333,69
16246.33333,16339.8,70
16369.8,16461.8,71
16602.53333,16722.53333,72
16752.53333,16819.86667,73
17812.03333,17932.03333,74
17962.03333,18036.1,75
18201.46667,18321.46667,76
18380.83333,18500.83333,77
18530.83333,18646.2,78
18676.2,18795.96667,79
18825.96667,18886.43333,80
19027.96667,19147.96667,81
19177.96667,19270.5,82
19419.46667,19539.46667,83
19569.46667,19636.46667,84
19666.46667,19748.46667,85
19778.46667,19883.5,86
20076.96667,20196.96667,87
20226.96667,20320.73333,88
20350.73333,20433.16667,89
20516.73333,20636.73333,90
20666.73333,20780.46667,91
20824.6,20944.6,92
20974.6,21091.5,93
21121.5,21192.53333,94
21222.53333,21263.2,95
23123.73333,23243.73333,96
23273.73333,23335.23333,97
23365.23333,23479.63333,98
23509.63333,23605.56667,99
23635.56667,23694.23333,100
23724.23333,23753.46667,101
23783.46667,23826.03333,102
24104.03333,24224.03333,103
24254.03333,24302.3,104
24332.3,24437.8,105
24480.9,24600.9,106
24630.9,24651.0,107
24681.0,24754.8,108
25222.83333,25342.83333,109
25372.83333,25429.76667,110
25459.76667,25555.23333,111
